listing_id,price,referans_fiyat,xgb_predicted,predicted_price,price_gap,etiket,guven,knn_mod,district,neighborhood,gross_sqm,total_rooms,building_age,floor,total_floors,floor_ratio,is_in_complex,knn_mesafe
167448-21,10200000,7910000.0,10265119.0,9087559.5,0.12241355888784002,Adil fiyat,0.54,ilce_ici,Başakşehir,Kayabaşı,113.0,3,2,9.0,9.0,1.0,1,1.0767174302614866
82957-7266,18250000,15625000.0,17578516.0,16601758.0,0.09928117251197133,Adil fiyat,0.01,ilce_ici,Başakşehir,Ziya Gökalp,203.0,5,11,-1.0,30.0,-0.03333333333333333,1,2.331591225465881
166936-24,7550000,12750000.0,7799086.5,10274543.25,-0.26517414776564396,Ucuz / Fırsat,0.34,ilce_ici,Başakşehir,Başak,140.0,5,16,5.0,5.0,1.0,1,1.5666526232887852
166606-9,6000000,5950000.0,5953892.5,5951946.25,0.008073619616440588,Adil fiyat,0.6,ilce_ici,Başakşehir,Güvercintepe,85.0,3,12,9.0,12.0,0.75,1,0.9495442856165589
166866-26,6800000,5975000.0,6647839.5,6311419.75,0.07741209891799701,Adil fiyat,0.41,ilce_ici,Başakşehir,Başak,87.0,3,16,8.0,10.0,0.8,1,1.3885470895005991
167147-127,17500000,14350000.0,15750879.0,15050439.5,0.16275674208716628,Adil fiyat,0.49,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,200.0,5,11,9.0,12.0,0.75,1,1.2022122853391717
160612-136,15850000,14400000.0,14739850.0,14569925.0,0.08785734998635888,Adil fiyat,0.47,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,210.0,5,4,13.0,21.0,0.6190476190476191,1,1.2523845765640478
109470-17,8350000,11625000.0,7752605.5,9688802.75,-0.1381804114032562,Adil fiyat,0.41,ilce_ici,Başakşehir,Güvercintepe,125.0,4,1,3.0,11.0,0.2727272727272727,1,1.4013119649916495
69864-1771,4750000,6790000.0,4774920.5,5782460.25,-0.17855034109400061,Adil fiyat,0.39,ilce_ici,Başakşehir,Kayabaşı,69.0,3,11,7.0,8.0,0.875,1,1.451479590007545
133233-162,9800000,8625000.0,10672427.0,9648713.5,0.015679447835195853,Adil fiyat,0.64,ilce_ici,Başakşehir,Başakşehir,144.0,4,6,4.0,14.0,0.2857142857142857,1,0.8499942129970322
72721-2037,20000000,17000000.0,19799184.0,18399592.0,0.08698062435297478,Adil fiyat,0.41,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,257.0,6,6,5.0,6.0,0.8333333333333334,1,1.3933304660410664
692254-1233,12800000,6050000.0,10868795.0,8459397.5,0.5131101239775054,Pahalı,0.5,ilce_ici,Başakşehir,Kayabaşı,132.0,3,5,8.0,13.0,0.6153846153846154,1,1.17865827017437
160822-20,9900000,9725000.0,9922535.0,9823767.5,0.007760006535170952,Adil fiyat,0.3,ilce_ici,Başakşehir,Ziya Gökalp,147.0,3,11,12.0,23.0,0.5217391304347826,1,1.6661833982213765
165153-117,10250000,10425000.0,10274345.0,10349672.5,-0.009630497969863297,Adil fiyat,0.54,ilce_ici,Başakşehir,Başakşehir,165.0,4,11,9.0,16.0,0.5625,1,1.079992317168681
10673-5590,9850000,9990000.0,10793391.0,10391695.5,-0.05212773026307401,Adil fiyat,0.44,ilce_ici,Başakşehir,Kayabaşı,198.0,4,11,7.0,12.0,0.5833333333333334,1,1.333871642170301
166897-9,9750000,5375000.0,8887313.0,7131156.5,0.3672396616172987,Pahalı,0.44,ilce_ici,Başakşehir,Başak,135.0,4,16,2.0,3.0,0.6666666666666666,0,1.3356018710503101
